name,store_view_code,url_key,path,active,is_anchor,include_in_menu,position,page_layout,display_mode,cms_block,custom_layout_update
Magazine Protection,default,magazine-protection,Products/Library Supplies,1,1,1,7,1column,PAGE,,
Magazine Covers,default,magazine-covers,Products/Library Supplies/Magazine Protection,1,1,0,1,2columns-left,PRODUCTS,,
Pamphlet Protection,default,pamphlet-protection,Products/Library Supplies/Magazine Protection,1,1,0,2,2columns-left,PRODUCTS,,
Shelf Organization,default,shelf-organization,Products/Library Supplies,1,1,1,8,1column,PAGE,,
Corrugated File Cases,default,corrugated-file-cases,Products/Library Supplies/Shelf Organization,1,1,0,1,2columns-left,PRODUCTS,,
File Labeling,default,file-labeling,Products/Library Supplies/Shelf Organization,1,1,0,2,2columns-left,PRODUCTS,,
Non-Skid Material,default,nonskid-material,Products/Library Supplies/Shelf Organization,1,1,0,3,2columns-left,PRODUCTS,,
Plastic Book Supports,default,plastic-book-supports,Products/Library Supplies/Shelf Organization,1,1,0,4,2columns-left,PRODUCTS,,
Plastic File Cases,default,plastic-file-cases,Products/Library Supplies/Shelf Organization,1,1,0,5,2columns-left,PRODUCTS,,
Shelf Displays,default,shelf-displays,Products/Library Supplies/Shelf Organization,1,1,0,6,2columns-left,PRODUCTS,,
Shelf Label Holders,default,shelf-label-holders,Products/Library Supplies/Shelf Organization,1,1,0,7,2columns-left,PRODUCTS,,
Shelf Markers,default,shelf-markers,Products/Library Supplies/Shelf Organization,1,1,0,8,2columns-left,PRODUCTS,,
Shelf Storage Boxes,default,shelf-storage-boxes,Products/Library Supplies/Shelf Organization,1,1,0,9,2columns-left,PRODUCTS,,
Steel Book Supports,default,steel-book-supports,Products/Library Supplies/Shelf Organization,1,1,0,10,2columns-left,PRODUCTS,,
Steel File Cases,default,steel-file-cases,Products/Library Supplies/Shelf Organization,1,1,0,11,2columns-left,PRODUCTS,,
Tape,default,tape,Products/Library Supplies,1,1,1,9,1column,PAGE,,
Acid Free,default,acid-free,Products/Library Supplies/Tape,1,1,0,1,2columns-left,PRODUCTS,,
Binder,default,binder,Products/Library Supplies/Tape,1,1,0,2,2columns-left,PRODUCTS,,
Color-coded,default,colorcoded,Products/Library Supplies/Tape,1,1,0,3,2columns-left,PRODUCTS,,
Colored Book Tape,default,colored-book-tape,Products/Library Supplies/Tape,1,1,0,4,2columns-left,PRODUCTS,,
Double-sided,default,doublesided,Products/Library Supplies/Tape,1,1,0,5,2columns-left,PRODUCTS,,
Hinge,default,hinge,Products/Library Supplies/Tape,1,1,0,6,2columns-left,PRODUCTS,,
Magnetic,default,magnetic,Products/Library Supplies/Tape,1,1,0,7,2columns-left,PRODUCTS,,
Masking,default,masking,Products/Library Supplies/Tape,1,1,0,8,2columns-left,PRODUCTS,,
Office,default,office,Products/Library Supplies/Tape,1,1,0,9,2columns-left,PRODUCTS,,
Packaging,default,packaging,Products/Library Supplies/Tape,1,1,0,10,2columns-left,PRODUCTS,,
Reinforcing,default,reinforcing,Products/Library Supplies/Tape,1,1,0,11,2columns-left,PRODUCTS,,
Tape Dispensers,default,tape-dispensers,Products/Library Supplies/Tape,1,1,0,12,2columns-left,PRODUCTS,,
Transparent Book Tape,default,transparent-book-tape,Products/Library Supplies/Tape,1,1,0,13,2columns-left,PRODUCTS,,
On Sale,default,on-sale,Products/Library Supplies,1,1,1,10,1column,PAGE,,
Office Equipment,default,office-equipment,Products,1,1,1,12,1column,PAGE,,
Binding Machines,default,binding-machines,Products/Office Equipment,1,1,0,1,1column,PAGE,,
Calculators,default,calculators,Products/Office Equipment,1,1,1,2,1column,PAGE,,
Electrical Supplies,default,electrical-supplies,Products/Office Equipment,1,1,1,2,1column,PAGE,,
Extension Cords,default,extension-cords,Products/Office Equipment/Electrical Supplies,1,1,0,1,2columns-left,PRODUCTS,,
Surge Protectors,default,surge-protectors,Products/Office Equipment/Electrical Supplies,1,1,0,2,2columns-left,PRODUCTS,,
Flashlights,default,flashlights,Products/Office Equipment,1,1,1,3,1column,PAGE,,
Laminators,default,laminators,Products/Office Equipment,1,1,1,4,1column,PAGE,,
Cold Laminators,default,cold-laminators,Products/Office Equipment/Laminators,1,1,0,1,2columns-left,PRODUCTS,,
Pouch Laminators,default,pouch-laminators,Products/Office Equipment/Laminators,1,1,0,2,2columns-left,PRODUCTS,,
Thermal Laminators,default,thermal-laminators,Products/Office Equipment/Laminators,1,1,0,3,2columns-left,PRODUCTS,,
Mailing Equipment,default,mailing-equipment,Products/Office Equipment,1,1,1,5,1column,PAGE,,
Paper Cutters,default,paper-cutters,Products/Office Equipment,1,1,1,7,1column,PAGE,,
Guillotine Paper Cutters,default,guillotine-paper-cutters,Products/Office Equipment/Paper Cutters,1,1,0,1,2columns-left,PRODUCTS,,
Rotary Trimmers,default,rotary-trimmers,Products/Office Equipment/Paper Cutters,1,1,0,2,2columns-left,PRODUCTS,,
Pencil Sharpeners,default,pencil-sharpeners,Products/Office Equipment,1,1,1,8,1column,PAGE,,
Electric Pencil Sharpeners,default,electric-pencil-sharpeners,Products/Office Equipment/Pencil Sharpeners,1,1,0,1,2columns-left,PRODUCTS,,
Manual Pencil Sharpeners,default,manual-pencil-sharpeners,Products/Office Equipment/Pencil Sharpeners,1,1,0,2,2columns-left,PRODUCTS,,
Power Management,default,power-management,Products/Office Equipment,1,1,1,9,1column,PAGE,,
Paper Shredders,default,paper-shredders,Products/Office Equipment,1,1,1,10,1column,PAGE,,
Commercial Paper Shredder,default,commercial-paper-shredder,Products/Office Equipment/Paper Shredders,1,1,0,1,2columns-left,PRODUCTS,,
Home Office Shredder,default,home-office-shredder,Products/Office Equipment/Paper Shredders,1,1,0,2,2columns-left,PRODUCTS,,
Office Supplies,default,office-supplies,Products,1,1,1,13,1column,PAGE,,
Batteries,default,batteries,Products/Office Supplies,1,1,1,1,1column,PAGE,,
Alkaline Batteries,default,alkaline-batteries,Products/Office Supplies/Batteries,1,1,0,1,2columns-left,PRODUCTS,,
Battery Chargers,default,battery-chargers,Products/Office Supplies/Batteries,1,1,0,2,2columns-left,PRODUCTS,,
Computer Accessories,default,computer-accessories,Products/Office Supplies,1,1,1,2,1column,PAGE,,
Computer Monitor Stands,default,computer-monitor-stands,Products/Office Supplies/Computer Accessories,1,1,0,1,2columns-left,PRODUCTS,,
Computer Mice and Keyboards,default,computer-mice-and-keyboards,Products/Office Supplies/Computer Accessories,1,1,0,2,2columns-left,PRODUCTS,,
Copy Holders,default,copy-holders,Products/Office Supplies/Computer Accessories,1,1,0,3,2columns-left,PRODUCTS,,
"Flash Drives, Memory Cards, & Data Storage Discs",default,flash-drives-memory-cards-data-storage-discs,Products/Office Supplies/Computer Accessories,1,1,0,4,2columns-left,PRODUCTS,,
Mouse Pads,default,mouse-pads,Products/Office Supplies/Computer Accessories,1,1,0,5,2columns-left,PRODUCTS,,
Printer Ink,default,printer-ink,Products/Office Supplies/Computer Accessories,1,1,0,6,2columns-left,PRODUCTS,,
Screen & Keyboard Cleaners,default,screen-keyboard-cleaners,Products/Office Supplies/Computer Accessories,1,1,0,7,2columns-left,PRODUCTS,,
Cutting Tools,default,cutting-tools,Products/Office Supplies,1,1,1,3,1column,PAGE,,
"Box Cutters, Utility Knives, & X-ACTO Knives",default,box-cutters-utility-knives-xacto-knives,Products/Office Supplies/Cutting Tools,1,1,0,1,2columns-left,PRODUCTS,,
Scissors,default,scissors,Products/Office Supplies/Cutting Tools,1,1,0,2,2columns-left,PRODUCTS,,
Desk Organization,default,desk-organization,Products/Office Supplies,1,1,1,4,1column,PAGE,,
Cash Boxes,default,cash-boxes,Products/Office Supplies/Desk Organization,1,1,0,1,2columns-left,PRODUCTS,,
Desktop Organizers,default,desktop-organizers,Products/Office Supplies/Desk Organization,1,1,0,2,2columns-left,PRODUCTS,,
Desktop Reference Systems,default,desktop-reference-systems,Products/Office Supplies/Desk Organization,1,1,0,3,2columns-left,PRODUCTS,,
Index Cards & Card Boxes,default,index-cards-card-boxes,Products/Office Supplies/Desk Organization,1,1,0,4,2columns-left,PRODUCTS,,
Ergonomic Products,default,ergonomic-products,Products/Office Supplies,1,1,1,5,1column,PAGE,,
Foot Rests,default,foot-rests,Products/Office Supplies/Ergonomic Products,1,1,0,1,2columns-left,PRODUCTS,,
Lumbar Supports,default,lumbar-supports,Products/Office Supplies/Ergonomic Products,1,1,0,2,2columns-left,PRODUCTS,,
Sit Stand Desks,default,sit-stand-desks,Products/Office Supplies/Ergonomic Products,1,1,0,3,2columns-left,PRODUCTS,,
File Organization,default,file-organization,Products/Office Supplies,1,1,1,6,1column,PAGE,,
Art Portfolios,default,art-portfolios,Products/Office Supplies/File Organization,1,1,0,1,2columns-left,PRODUCTS,,
Binders,default,binders,Products/Office Supplies/File Organization,1,1,0,2,2columns-left,PRODUCTS,,
File Folder Labels,default,file-folder-labels,Products/Office Supplies/File Organization,1,1,0,3,2columns-left,PRODUCTS,,
File Folders,default,file-folders,Products/Office Supplies/File Organization,1,1,0,4,2columns-left,PRODUCTS,,
File Storage,default,file-storage,Products/Office Supplies/File Organization,1,1,0,5,2columns-left,PRODUCTS,,
Page Dividers,default,page-dividers,Products/Office Supplies/File Organization,1,1,0,6,2columns-left,PRODUCTS,,
Pocket Folders,default,pocket-folders,Products/Office Supplies/File Organization,1,1,0,7,2columns-left,PRODUCTS,,
Sheet Protectors,default,sheet-protectors,Products/Office Supplies/File Organization,1,1,0,8,2columns-left,PRODUCTS,,
General Supplies,default,general-supplies,Products/Office Supplies,1,1,1,7,1column,PAGE,,
Book Lights,default,book-lights,Products/Office Supplies/General Supplies,1,1,0,1,2columns-left,PRODUCTS,,
Clipboards,default,clipboards,Products/Office Supplies/General Supplies,1,1,0,2,2columns-left,PRODUCTS,,
Comb Binding,default,comb-binding,Products/Office Supplies/General Supplies,1,1,0,3,2columns-left,PRODUCTS,,
"Erasers, Wite-Out Fluid, & Correction Tape",default,erasers-witeout-fluid-correction-tape,Products/Office Supplies/General Supplies,1,1,0,4,2columns-left,PRODUCTS,,
Glue,default,glue,Products/Office Supplies/General Supplies,1,1,0,5,2columns-left,PRODUCTS,,
Magnifying Glasses,default,magnifying-glasses,Products/Office Supplies/General Supplies,1,1,0,6,2columns-left,PRODUCTS,,
"Mounting Tape, Poster Strips, Putty, & Adhesive Hoo",default,mounting-tape-poster-strips-putty-adhesive-hoo,Products/Office Supplies/General Supplies,1,1,0,7,2columns-left,PRODUCTS,,
"Paper Clips, Rubber Bands, Binder Clips, & More",default,paper-clips-rubber-bands-binder-clips-more,Products/Office Supplies/General Supplies,1,1,0,8,2columns-left,PRODUCTS,,
Rulers,default,rulers,Products/Office Supplies/General Supplies,1,1,0,9,2columns-left,PRODUCTS,,
ID Badges,default,id-badges,Products/Office Supplies,1,1,1,8,1column,PAGE,,
Name Badge Holders,default,name-badge-holders,Products/Office Supplies/ID Badges,1,1,0,1,2columns-left,PRODUCTS,,
Name Badges,default,name-badges,Products/Office Supplies/ID Badges,1,1,0,2,2columns-left,PRODUCTS,,
Laminating,default,laminating,Products/Office Supplies,1,1,1,9,1column,PAGE,,
Laminating Film,default,laminating-film,Products/Office Supplies/Laminating,1,1,0,1,2columns-left,PRODUCTS,,
Laminating Pouches,default,laminating-pouches,Products/Office Supplies/Laminating,1,1,0,2,2columns-left,PRODUCTS,,
