name,store_view_code,url_key,path,active,is_anchor,include_in_menu,position,page_layout,display_mode,cms_block,custom_layout_update
Steel,default,steel,Products/Shelving/Utility,1,1,0,1,2columns-left,PRODUCTS,,
Wire,default,wire,Products/Shelving/Utility,1,1,0,2,2columns-left,PRODUCTS,,
Wood,default,wood,Products/Shelving,1,1,1,9,1column,PAGE,,
Americana,default,americana,Products/Shelving/Wood,1,1,0,1,2columns-left,PRODUCTS,,
Bookcraft,default,bookcraft,Products/Shelving/Wood,1,1,0,2,2columns-left,PRODUCTS,,
Classic,default,classic,Products/Shelving/Wood,1,1,0,3,2columns-left,PRODUCTS,,
ColorScape,default,colorscape,Products/Shelving/Wood,1,1,0,4,2columns-left,PRODUCTS,,
Demco Liberation,default,demco-liberation,Products/Shelving/Wood,1,1,0,5,2columns-left,PRODUCTS,,
DEMCO LibraCraft,default,demco-libracraft,Products/Shelving/Wood,1,1,0,6,2columns-left,PRODUCTS,,
Harmony,default,harmony,Products/Shelving/Wood,1,1,0,7,2columns-left,PRODUCTS,,
Little Potter,default,little-potter,Products/Shelving/Wood,1,1,0,8,2columns-left,PRODUCTS,,
Media Technologies,default,media-technologies,Products/Shelving/Wood,1,1,0,9,2columns-left,PRODUCTS,,
Paladin,default,paladin,Products/Shelving/Wood,1,1,0,10,2columns-left,PRODUCTS,,
